test 0 (s): (0.0001964999974006787, True) Exp Height: 10.998064085147453 
test 1 (s): (0.00010189999738940969, True) Exp Height: 10.998064085147453 
test 2 (s): (9.579999823472463e-05, True) Exp Height: 10.998064085147453 
test 3 (s): (9.399999908055179e-05, True) Exp Height: 10.998064085147453 
test 4 (s): (9.409999984200113e-05, True) Exp Height: 10.998064085147453 
test 5 (s): (9.359999967273325e-05, True) Exp Height: 10.998064085147453 
test 6 (s): (9.439999848837033e-05, True) Exp Height: 10.998064085147453 
test 7 (s): (9.549999958835542e-05, True) Exp Height: 10.998064085147453 
test 8 (s): (9.299999874201603e-05, True) Exp Height: 10.998064085147453 
test 9 (s): (9.370000043418258e-05, True) Exp Height: 10.998064085147453 
test 10 (s): (9.409999984200113e-05, True) Exp Height: 10.998064085147453 
test 11 (s): (9.380000119563192e-05, True) Exp Height: 10.998064085147453 
test 12 (s): (9.470000077271834e-05, True) Exp Height: 10.998064085147453 
test 13 (s): (0.00010069999916595407, True) Exp Height: 10.998064085147453 
test 14 (s): (9.520000094198622e-05, True) Exp Height: 10.998064085147453 
test 15 (s): (9.43000013648998e-05, True) Exp Height: 10.998064085147453 
test 16 (s): (9.349999891128391e-05, True) Exp Height: 10.998064085147453 
test 17 (s): (9.350000254926272e-05, True) Exp Height: 10.998064085147453 
test 18 (s): (9.57000011112541e-05, True) Exp Height: 10.998064085147453 
test 19 (s): (9.420000060345046e-05, True) Exp Height: 10.998064085147453 
test 20 (s): (9.409999984200113e-05, True) Exp Height: 10.998064085147453 
test 21 (s): (9.380000119563192e-05, True) Exp Height: 10.998064085147453 
test 22 (s): (9.310000314144418e-05, True) Exp Height: 10.998064085147453 
test 23 (s): (9.560000034980476e-05, True) Exp Height: 10.998064085147453 
test 24 (s): (9.399999908055179e-05, True) Exp Height: 10.998064085147453 
Average time: 0.00024727999989409
