test 0 (s): (0.3168033000001742, True) Exp Height: 16.001676878042087 
test 1 (s): (0.4619730000013078, True) Exp Height: 16.001676878042087 
test 2 (s): (0.5027024000009988, True) Exp Height: 16.001676878042087 
test 3 (s): (0.38935510000010254, True) Exp Height: 16.001676878042087 
test 4 (s): (0.3053747000012663, True) Exp Height: 16.001676878042087 
test 5 (s): (0.3035710000003746, True) Exp Height: 16.001676878042087 
test 6 (s): (0.3247875000015483, True) Exp Height: 16.001676878042087 
test 7 (s): (0.33092889999898034, True) Exp Height: 16.001676878042087 
test 8 (s): (0.3268251999979839, True) Exp Height: 16.001676878042087 
test 9 (s): (0.3980658000000403, True) Exp Height: 16.001676878042087 
test 10 (s): (0.37477750000107335, True) Exp Height: 16.001676878042087 
test 11 (s): (0.32462740000119084, True) Exp Height: 16.001676878042087 
test 12 (s): (0.3178795000021637, True) Exp Height: 16.001676878042087 
test 13 (s): (0.3059041000014986, True) Exp Height: 16.001676878042087 
test 14 (s): (0.30599900000015623, True) Exp Height: 16.001676878042087 
test 15 (s): (0.3183268000029784, True) Exp Height: 16.001676878042087 
test 16 (s): (0.3059632000004058, True) Exp Height: 16.001676878042087 
test 17 (s): (0.3070164999990084, True) Exp Height: 16.001676878042087 
test 18 (s): (0.3150937000027625, True) Exp Height: 16.001676878042087 
test 19 (s): (0.3029079999978421, True) Exp Height: 16.001676878042087 
test 20 (s): (0.3056499000012991, True) Exp Height: 16.001676878042087 
test 21 (s): (0.3140835000012885, True) Exp Height: 16.001676878042087 
test 22 (s): (0.3064011999995273, True) Exp Height: 16.001676878042087 
test 23 (s): (0.3929911999985052, True) Exp Height: 16.001676878042087 
test 24 (s): (0.4078111999988323, True) Exp Height: 16.001676878042087 
Average time: 0.856581960001131
