test 0 (s): (0.3091233999984979, True) Exp Height: 16.001676878042087 
test 1 (s): (0.33573899999828427, True) Exp Height: 16.001676878042087 
test 2 (s): (0.3174402000004193, True) Exp Height: 16.001676878042087 
test 3 (s): (0.32567419999759295, True) Exp Height: 16.001676878042087 
test 4 (s): (0.3079907999999705, True) Exp Height: 16.001676878042087 
test 5 (s): (0.3097877000000153, True) Exp Height: 16.001676878042087 
test 6 (s): (0.30764990000170656, True) Exp Height: 16.001676878042087 
test 7 (s): (0.3118220999967889, True) Exp Height: 16.001676878042087 
test 8 (s): (0.3094313000001421, True) Exp Height: 16.001676878042087 
test 9 (s): (0.34846899999683956, True) Exp Height: 16.001676878042087 
test 10 (s): (0.3132948000020406, True) Exp Height: 16.001676878042087 
test 11 (s): (0.31738490000134334, True) Exp Height: 16.001676878042087 
test 12 (s): (0.33813179999924614, True) Exp Height: 16.001676878042087 
test 13 (s): (0.30827339999814285, True) Exp Height: 16.001676878042087 
test 14 (s): (0.3151501000029384, True) Exp Height: 16.001676878042087 
test 15 (s): (0.33261940000011236, True) Exp Height: 16.001676878042087 
test 16 (s): (0.30839040000137175, True) Exp Height: 16.001676878042087 
test 17 (s): (0.3176363000020501, True) Exp Height: 16.001676878042087 
test 18 (s): (0.360736700000416, True) Exp Height: 16.001676878042087 
test 19 (s): (0.312515199999325, True) Exp Height: 16.001676878042087 
test 20 (s): (0.31081780000022263, True) Exp Height: 16.001676878042087 
test 21 (s): (0.37600430000020424, True) Exp Height: 16.001676878042087 
test 22 (s): (0.3185260999998718, True) Exp Height: 16.001676878042087 
test 23 (s): (0.3470737999996345, True) Exp Height: 16.001676878042087 
test 24 (s): (0.32658599999922444, True) Exp Height: 16.001676878042087 
Average time: 0.8086268599996401
